date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:01	198867/198867	---MCZ	200	added ('OK')	text/html	etag:W/%22584a596c9db9105edb94888c975f511f%22	https://scrum-master-nuernberg.de/	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Scrum%20Master/scrum-master-nuernberg.de/index.html	(from )
14:26:01	20/20	---MCZ	200	added ('OK')	text/plain	date:Fri,%2025%20Jun%202021%2012:25:59%20GMT	https://scrum-master-nuernberg.de/robots.txt		(from )
14:26:02	58935/58935	---M-Z	200	added ('OK')	text/css	etag:%225qdWIg%22	https://static.leadpages.net/fonts/font-awesome/5.14.0/css/all.min.css	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Scrum%20Master/static.leadpages.net/fonts/font-awesome/5.14.0/css/all.min.css	(from https://scrum-master-nuernberg.de/)
14:26:02	12555/12555	---M-Z	200	added ('OK')	application/javascript	etag:%22OMWYXg%22	https://js.center.io/center.js	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Scrum%20Master/js.center.io/center.js	(from https://scrum-master-nuernberg.de/)
14:26:02	4614/4614	---M--	200	added ('OK')	application/javascript	etag:%22faea56fc1563324171b3d629ebf0f701%22	https://s3.eu-central-1.amazonaws.com/website-tutor/cookiehinweis/script.js	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Scrum%20Master/s3.eu-central-1.amazonaws.com/website-tutor/cookiehinweis/script.js	(from https://scrum-master-nuernberg.de/)
14:26:03	180440/180440	---MCZ	200	added ('OK')	text/html	etag:W/%2265d326b23558584507d680b3c23be5f5%22	https://scrum-master-nuernberg.de/about/	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Scrum%20Master/scrum-master-nuernberg.de/about/index.html	(from https://scrum-master-nuernberg.de/)
14:26:03	245831/245831	---MCZ	200	added ('OK')	text/html	etag:W/%22e25d9481f1a75d19e63f60af69eeea77%22	https://scrum-master-nuernberg.de/contact/	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Scrum%20Master/scrum-master-nuernberg.de/contact/index.html	(from https://scrum-master-nuernberg.de/)
14:26:04	157757/157757	---MCZ	200	added ('OK')	text/html	etag:W/%221eea047d20779d3547e72312be7e5d39%22	https://scrum-master-nuernberg.de/impressum/	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Scrum%20Master/scrum-master-nuernberg.de/impressum/index.html	(from https://scrum-master-nuernberg.de/)
14:26:04	42862/42862	---M-Z	200	added ('OK')	application/javascript	etag:%225qdWIg%22	https://embed.lpcontent.net/leadboxes/current/embed.js	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Scrum%20Master/embed.lpcontent.net/leadboxes/current/embed.js	(from https://scrum-master-nuernberg.de/)
14:26:04	197604/197604	---MCZ	200	added ('OK')	text/html	etag:W/%2270a1edddcff9fba9546b097929a87909%22	https://scrum-master-nuernberg.de/datenschutz/	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Scrum%20Master/scrum-master-nuernberg.de/datenschutz/index.html	(from https://scrum-master-nuernberg.de/)
14:26:05	159628/159628	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2278aa9ae7ebf7cc187a58f10e1ef8e26c%22	https://scrum-master-nuernberg.de/Trident/	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Scrum%20Master/scrum-master-nuernberg.de/Trident/index.html	(from https://scrum-master-nuernberg.de/)
14:26:06	850/850	---MC-	200	added ('OK')	text/javascript	date:Fri,%2025%20Jun%202021%2012:26:03%20GMT	https://www.google.com/recaptcha/api.js	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Scrum%20Master/www.google.com/recaptcha/api.js	(from https://scrum-master-nuernberg.de/)
14:26:09	159628/159628	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2278aa9ae7ebf7cc187a58f10e1ef8e26c%22	https://scrum-master-nuernberg.de/about/Trident/	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Scrum%20Master/scrum-master-nuernberg.de/about/Trident/index.html	(from https://scrum-master-nuernberg.de/about/)
14:26:09	159628/159628	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2278aa9ae7ebf7cc187a58f10e1ef8e26c%22	https://scrum-master-nuernberg.de/contact/Trident/	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Scrum%20Master/scrum-master-nuernberg.de/contact/Trident/index.html	(from https://scrum-master-nuernberg.de/contact/)
14:26:10	159628/159628	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2278aa9ae7ebf7cc187a58f10e1ef8e26c%22	https://scrum-master-nuernberg.de/impressum/Trident/	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Scrum%20Master/scrum-master-nuernberg.de/impressum/Trident/index.html	(from https://scrum-master-nuernberg.de/impressum/)
14:26:10	159628/159628	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2278aa9ae7ebf7cc187a58f10e1ef8e26c%22	https://scrum-master-nuernberg.de/datenschutz/Trident/	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Scrum%20Master/scrum-master-nuernberg.de/datenschutz/Trident/index.html	(from https://scrum-master-nuernberg.de/datenschutz/)
